User-ID;first_name;last_name;Location;Age
2;Claudine;Reinger;stockton, california, usa;18.0
8;Vernetta;Hartmann;timmins, ontario, canada;
9;Bertram;Carter;germantown, tennessee, usa;
10;Mel;Anderson;albacete, wisconsin, spain;26.0
12;Peggie;Heidenreich;fort bragg, california, usa;
14;Theo;Kassulke;mediapolis, iowa, usa;
16;Rory;Erdman;albuquerque, new mexico, usa;
17;Otto;Donnelly;chesapeake, virginia, usa;
19;Verlie;Ward;weston, ,;14.0
20;Oralia;Gottlieb;langhorne, pennsylvania, usa;19.0
22;Ariel;Williamson;erfurt, thueringen, germany;
23;Loraine;Murphy;philadelphia, pennsylvania, usa;
26;Micheal;Goodwin;bellevue, washington, usa;
32;Candelaria;Jenkins;portland, oregon, usa;
36;Jude;Cassin;montreal, quebec, canada;24.0
39;Angele;Leannon;cary, north carolina, usa;
42;Bradford;Durgan;appleton, wisconsin, usa;17.0
44;Gerard;Heller;black mountain, north carolina, usa;51.0
51;Patti;Jacobs;renton, washington, usa;34.0
53;Hermine;Bechtelar;tacoma, washington, usa;
56;Justa;Schumm;cheyenne, wyoming, usa;24.0
64;Kasey;Pfannerstill;lyon, rhone, france;32.0
67;Camelia;Hane;framingham, massachusetts, usa;43.0
68;Kendrick;Fahey;montreal, quebec, canada;
69;Ramon;Crooks;vancouver, british columbia, canada;
70;Murray;Kozey;rochester, new york, usa;44.0
73;Raphael;Smith;wentzville, missouri, usa;
75;Anissa;Okuneva;long beach, california, usa;37.0
77;Damion;DuBuque;vancouver, british columbia, canada;
78;Isaac;Wunsch;oakland, california, usa;18.0
79;Brent;Tromp;ottawa, ontario, canada;20.0
81;Madelyn;Miller;santa cruz, california, usa;
82;Cliff;Morar;del mar, california, usa;
83;Cherlyn;Miller;eugene, oregon, usa;
85;Dell;Stracke;london, england, united kingdom;41.0
86;Joyce;Larson;los angeles, california, usa;
87;Lenora;Quitzon;richardson, texas, usa;
88;Roxane;Mante;fayetteville, georgia, usa;
91;Diedra;Crooks;toronto/newmarket, ,;
92;Vincenzo;Konopelski;castellar del valles, barcelona, spain;20.0
95;Adrianne;Bins;grand island, new york, usa;
97;Vickie;Kuhlman;mechanicsburg, pennsylvania, usa;
99;Cristine;Botsford;franktown, colorado, usa;42.0
102;Peter;Osinski;barcelona, n/a, spain;
107;Donnie;Kilback;lethbridge, alberta, canada;
109;Angelica;Hackett;muncie, indiana, usa;20.0
110;Nellie;Hamill;peoira, illinois, usa;
114;Harry;Buckridge;ligonier, pennsylvania, usa;57.0
125;Denny;Hoppe;lansing, michigan, usa;49.0
